species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,nb.of.cross.points,vegetative.area,nb.of.opened.flowers.per.fu,nb.of.total.flowers.per.fu,nb.of.opened.flowers,nb.of.total.flowers,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Centaurea nigra,08/06/2011,10:45,brandon hill,grassland nature reserve,single capitulum,2011,2,9,4,4,0,42,4,15,0.104166667,42,46,168,782,1612.8,7507.2
Centaurea nigra,08/06/2011,10:45,brandon hill,grassland nature reserve,single capitulum,2011,3,9,3,0,0,36,0,9,0.0625,36,36,108,432,1728,6912
Centaurea nigra,08/06/2011,10:45,brandon hill,grassland nature reserve,single capitulum,2011,4,15,4,0,40,34,0,8,0.055555556,34,74,136,1406,2448,25308
Centaurea nigra,08/06/2011,10:45,brandon hill,grassland nature reserve,single capitulum,2011,5,13,5,0,6,50,0,20,0.138888889,50,56,250,1008,1800,7257.6
Cerastium fontanum,01/08/2011,10:48,ashton court nature reserve,grassland nature reserve,single flower,2011,1,5,5,92,0,1,0,2,0.013888889,1,1,5,102,360,7344
Cerastium fontanum,01/08/2011,10:48,ashton court nature reserve,grassland nature reserve,single flower,2011,2,4,2,53,0,1,0,1,0.006944444,1,1,2,59,288,8496
Cerastium fontanum,01/08/2011,10:48,ashton court nature reserve,grassland nature reserve,single flower,2011,3,5,10,38,0,1,0,1,0.006944444,1,1,10,53,1440,7632
Cerastium fontanum,01/08/2011,10:48,ashton court nature reserve,grassland nature reserve,single flower,2011,4,44,14,95,0,1,0,5,0.034722222,1,1,14,153,403.2,4406.4
Cerastium fontanum,01/08/2011,10:48,ashton court nature reserve,grassland nature reserve,single flower,2011,5,11,8,84,0,1,0,1,0.006944444,1,1,8,103,1152,14832
Cerastium fontanum,27/07/2011,12:00,brandon hill,grassland nature reserve,single flower,2011,1,11,3,28,0,1,0,2,0.013888889,1,1,3,42,216,3024
Cerastium fontanum,27/07/2011,12:00,brandon hill,grassland nature reserve,single flower,2011,2,1,1,55,0,1,0,1,0.006944444,1,1,1,57,144,8208
Cerastium fontanum,27/07/2011,12:00,brandon hill,grassland nature reserve,single flower,2011,3,3,1,50,0,1,0,1,0.006944444,1,1,1,54,144,7776
Cerastium fontanum,27/07/2011,12:00,brandon hill,grassland nature reserve,single flower,2011,4,5,4,48,0,1,0,1,0.006944444,1,1,4,57,576,8208
Cerastium fontanum,27/07/2011,12:00,brandon hill,grassland nature reserve,single flower,2011,5,4,5,55,0,1,0,5,0.034722222,1,1,5,64,144,1843.2
Cerastium fontanum,25/07/2011,11:30,troopers hill,grassland park,single flower,2011,1,5,4,12,0,1,0,2,0.013888889,1,1,4,21,288,1512
Cerastium fontanum,25/07/2011,11:30,troopers hill,grassland park,single flower,2011,2,2,7,17,0,1,0,1,0.006944444,1,1,7,26,1008,3744
Cerastium fontanum,25/07/2011,11:30,troopers hill,grassland park,single flower,2011,3,4,8,22,0,1,0,1,0.006944444,1,1,8,34,1152,4896
Cerastium fontanum,25/07/2011,11:30,troopers hill,grassland park,single flower,2011,4,3,6,19,0,1,0,1,0.006944444,1,1,6,28,864,4032
Cerastium fontanum,25/07/2011,11:30,troopers hill,grassland park,single flower,2011,5,3,12,27,0,1,0,1,0.006944444,1,1,12,42,1728,6048
Chamerion angustifolium,27/06/2011,14:00,ashton court,woodland carpark,single flower,2011,1,235,248,60,0,1,0,30,0.208333333,1,1,248,543,1190.4,2606.4
Chamerion angustifolium,27/06/2011,14:00,ashton court,woodland carpark,single flower,2011,2,110,66,20,0,1,0,15,0.104166667,1,1,66,196,633.6,1881.6
Chamerion angustifolium,27/06/2011,14:00,ashton court,woodland carpark,single flower,2011,3,80,165,15,0,1,0,20,0.138888889,1,1,165,260,1188,1872
Chamerion angustifolium,27/06/2011,14:00,ashton court,woodland carpark,single flower,2011,4,68,240,55,0,1,0,8,0.055555556,1,1,240,363,4320,6534
Chamerion angustifolium,27/06/2011,14:00,ashton court,woodland carpark,single flower,2011,5,130,180,48,0,1,0,28,0.194444444,1,1,180,358,925.7142857,1841.142857
Chamerion angustifolium,18/07/2011,13:00,troopers hill,grassland park,single flower,2011,1,220,28,8,0,1,0,27,0.1875,1,1,28,256,149.3333333,1365.333333
Chamerion angustifolium,18/07/2011,13:00,troopers hill,grassland park,single flower,2011,2,165,25,3,0,1,0,13,0.090277778,1,1,25,193,276.9230769,2137.846154
Chamerion angustifolium,18/07/2011,13:00,troopers hill,grassland park,single flower,2011,3,50,21,160,0,1,0,6,0.041666667,1,1,21,231,504,5544
Chamerion angustifolium,18/07/2011,13:00,troopers hill,grassland park,single flower,2011,4,180,35,200,0,1,0,15,0.104166667,1,1,35,415,336,3984
Chamerion angustifolium,18/07/2011,13:00,troopers hill,grassland park,single flower,2011,5,250,41,300,0,1,0,28,0.194444444,1,1,41,591,210.8571429,3039.428571
Circaea lutetiana,30/06/2011,14:00,ashton court,woodland carpark,single flower,2011,1,117,67,34,0,1,0,7,0.048611111,1,1,67,218,1378.285714,4484.571429
Circaea lutetiana,30/06/2011,14:00,ashton court,woodland carpark,single flower,2011,2,33,38,15,0,1,0,9,0.0625,1,1,38,86,608,1376
Circaea lutetiana,30/06/2011,14:00,ashton court,woodland carpark,single flower,2011,3,39,35,18,0,1,0,17,0.118055556,1,1,35,92,296.4705882,779.2941176
Circaea lutetiana,30/06/2011,14:00,ashton court,woodland carpark,single flower,2011,4,87,30,4,0,1,0,8,0.055555556,1,1,30,121,540,2178
Circaea lutetiana,30/06/2011,14:00,ashton court,woodland carpark,single flower,2011,5,39,27,12,0,1,0,9,0.0625,1,1,27,78,432,1248
Circaea lutetiana,07/07/2011,16:00,brandon hill,woodland nature reserve,single flower,2011,1,293,89,45,0,1,0,10,0.069444444,1,1,89,427,1281.6,6148.8
Circaea lutetiana,07/07/2011,16:00,brandon hill,woodland nature reserve,single flower,2011,2,152,41,15,0,1,0,7,0.048611111,1,1,41,208,843.4285714,4278.857143
Circaea lutetiana,07/07/2011,16:00,brandon hill,woodland nature reserve,single flower,2011,3,190,90,82,0,1,0,16,0.111111111,1,1,90,362,810,3258
Circaea lutetiana,07/07/2011,16:00,brandon hill,woodland nature reserve,single flower,2011,4,51,40,62,0,1,0,6,0.041666667,1,1,40,153,960,3672
Circaea lutetiana,07/07/2011,16:00,brandon hill,woodland nature reserve,single flower,2011,5,85,106,87,0,1,0,17,0.118055556,1,1,106,278,897.8823529,2354.823529
Cirsium acaule,05/09/2012,11:00,doleburry warren,heath-grassland,single capitulum,2012,1,0,1,7,0,146,0,2,0.013888889,146,146,146,1168,10512,84096
Cirsium acaule,05/09/2012,11:00,doleburry warren,heath-grassland,single capitulum,2012,2,0,1,3,0,138,10,4,0.027777778,138,148,138,592,4968,21312
Cirsium acaule,05/09/2012,11:00,doleburry warren,heath-grassland,single capitulum,2012,3,0,1,0,0,158,0,2,0.013888889,158,158,158,158,11376,11376
Cirsium acaule,05/09/2012,11:00,doleburry warren,heath-grassland,single capitulum,2012,4,0,0,8,0,20,100,7,0.048611111,20,120,0,960,0,19748.57143
Cirsium acaule,05/09/2012,11:00,doleburry warren,heath-grassland,single capitulum,2012,5,1,3,17,0,0,56,11,0.076388889,0,56,0,1176,0,15394.90909
Cirsium arvense,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,1,77,9,10,0,126,0,18,0.125,126,126,1134,12096,9072,96768
Cirsium arvense,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,2,68,9,21,6,88,0,27,0.1875,88,94,792,9212,4224,49130.66667
Cirsium arvense,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,3,106,6,14,0,84,0,26,0.180555556,84,84,504,10584,2791.384615,58619.07692
Cirsium arvense,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,4,38,11,5,0,128,0,14,0.097222222,128,128,1408,6912,14482.28571,71094.85714
Cirsium arvense,30/06/2011,14:00,ashton court,woodland carpark,single capitulum,2011,5,33,3,6,0,88,0,10,0.069444444,88,88,264,3696,3801.6,53222.4
Cirsium arvense,14/06/2011,15:00,brandon hill,grassland nature reserve,single capitulum,2011,1,37,1,0,0,130,0,35,0.243055556,130,130,130,4940,534.8571429,20324.57143
