POT_NUMBER,GLYCENE_LABELLED,WATER_TREATMENT,BLOCK,ONYCH,SCHEL,ISOT,MESA,PLATY,PSEU,HYPO,FOLS,PRED,PERCENT_RLC,CUT1_SHOOT_181201,CUT2_SHOOT_140202,CUT3_SHOOT_080402,ROOT,MBC,MBN,AMMONIA,NITRATE,PHOSPHATE,ROOT_PERCENT_TOTAL_N,ROOT_D15N,ROOT_PERCENT_TOTAL_C,ROOT_D13C,SHOOT_PERCENT_TOTAL_N,SHOOT_D15N,PERCENT_SOIL_TOTAL_N,SOIL_D15N,MGN_UNFUMIGATED_SAMPLE,D15N_UNFUMIGATED_SAMPLE,MGN_FUMIGATED_SAMPLE,D15N_FUMIGATED_SAMPLE
118,Labelled,water,2,0,0,0,0,1,1,0,0,0,16,0.13,0.24,0.65,0.68,0.55,0.06,2.49,4.76,2.35,0.91,196.08,44.66,-28.06,1.39,137.77,0.68,18.05,55.3522,30.92,134.5756413,164.38
119,control,water,3,0,0,0,0,1,1,0,0,0,21,0.07,0.34,0.30,0.34,0.72,0.23,6.48,6.15,4.36,0.88,0.78,42.20,-28.45,1.21,1.65,0.60,3.38,61.8988,2.04,119.0383478,2.61
120,control,drought,4,0,0,0,0,1,1,0,0,0,18,0.09,0.30,0.67,0.62,2.25,0.23,1.93,4.16,0.00,0.78,-0.07,35.94,-28.1,1.00,3.98,0.68,4.50,72.217,2.29,,too small
121,Labelled,drought,3,0,0,0,0,0,0,1,1,0,9,0.07,0.25,0.73,0.98,1.50,0.16,1.35,2.16,0.00,0.68,206.14,45.38,-27.74,1.24,198.68,0.73,10.19,69.1521,54.13,168.901561,120.46
122,Labelled,drought,2,0,0,0,0,0,0,1,1,0,31,0.06,0.23,0.79,0.76,1.91,0.20,1.35,2.29,10.58,0.92,169.50,37.97,-26.27,1.50,156.89,0.65,10.45,70.4073,27.81,201.8806077,93.87
123,Labelled,drought,1,0,0,0,0,0,0,1,1,0,24,0.08,0.27,0.57,0.50,1.58,0.16,1.29,1.98,8.68,0.94,172.15,43.81,-26.63,1.84,218.87,0.63,12.37,70.7066,39.38,181.6916846,109.84
124,Labelled,drought,2,0,0,0,0,0,0,1,1,0,21,0.02,0.12,1.17,0.42,0.44,0.11,2.33,4.22,5.60,0.94,152.89,33.79,-26.07,2.37,146.45,0.74,8.81,88.882,43.22,155.1219825,108.5
125,Labelled,water,3,0,0,0,0,0,0,1,1,0,8,0.11,0.29,0.54,0.63,0.81,0.13,1.99,3.51,2.96,0.72,238.10,44.19,-27.8,1.12,165.57,0.72,15.03,63.7421,15.81,111.6715187,113.57
126,Labelled,water,4,0,0,0,0,0,0,1,1,0,7,0.03,0.14,1.05,0.89,1.17,0.15,1.49,2.55,0.04,0.80,145.28,44.05,-27.22,1.11,70.7,0.72,10.64,84.3317,58.28,213.2937745,137.52
127,Labelled,water,1,0,0,0,0,0,0,1,1,0,13,0.11,0.33,0.73,0.59,1.22,0.14,1.33,3.12,5.77,0.93,234.35,41.83,-27.9,1.15,148.44,0.75,14.15,67.6007,40.15,201.2001449,140.79
128,Labelled,water,2,0,0,0,0,0,0,1,1,0,17,0.08,0.21,1.20,1.24,1.01,0.10,1.21,3.26,0.02,0.84,155.41,42.12,-27.4,1.19,99.44,0.74,13.73,74.6459,27.19,174.382214,87.44
129,control,water,3,0,0,0,0,0,0,1,1,0,12,0.05,0.19,0.18,1.07,1.27,0.28,4.05,10.40,4.04,0.69,7.18,37.90,-28.17,1.41,12.57,0.71,3.85,65.5549,2.48,116.4911811,5.03
130,control,drought,4,0,0,0,0,0,0,1,1,0,16,0.09,0.23,0.85,1.05,1.43,0.10,1.58,2.58,0.00,0.79,1.41,43.98,-27.37,1.33,4.29,0.69,3.12,73.9781,1.97,243.4944693,4.35
131,Labelled,drought,4,1,1,1,1,0,0,0,0,0,37,0.11,0.17,0.50,0.54,1.41,0.16,2.13,3.42,3.74,0.82,282.55,41.79,-24.9,1.51,155.6,0.62,10.20,70.0443,37.82,182.825916,141.1
132,Labelled,drought,1,1,1,1,1,0,0,0,0,0,19,0.03,0.19,1.04,0.79,0.98,0.14,1.09,2.36,3.78,0.73,148.18,41.55,-27.12,1.26,202.57,0.70,12.48,83.3218,21.47,212.9676052,92.85
133,Labelled,drought,1,1,1,1,1,0,0,0,0,0,20,0.11,0.26,0.54,0.61,1.62,0.21,,,10.98,0.67,284.19,47.02,-28.12,1.26,165.16,0.63,12.48,70.0149,40.96,208.410976,105.33
134,Labelled,drought,2,1,1,1,1,0,0,0,0,0,15,0.18,0.16,0.60,0.53,1.14,0.18,2.05,2.35,0.00,0.84,197.37,43.12,-28.18,1.37,203.09,0.77,11.74,76.1903,35.04,91.68768236,127.65
135,Labelled,water,3,1,1,1,1,0,0,0,0,0,12,0.19,0.19,0.51,0.54,1.37,0.12,2.11,3.25,1.73,0.67,169.35,44.09,-28.23,1.42,161.01,0.73,11.17,49.6791,50.89,50.16332723,118.03
136,Labelled,water,4,1,1,1,1,0,0,0,0,0,12,0.14,0.18,1.08,1.09,1.48,0.18,1.09,1.97,0.00,0.76,173.45,43.06,-26.97,1.19,39.48,0.66,11.28,42.7273,39.1,184.3705151,148.62
137,Labelled,water,1,1,1,1,1,0,0,0,0,0,16,0.08,0.29,0.65,0.98,1.21,0.26,1.02,1.81,0.00,0.82,168.03,41.25,-27.83,1.40,187.93,0.66,10.51,79.402,40.33,137.5520244,127.5
138,Labelled,water,2,1,1,1,1,0,0,0,0,0,13,0.11,0.26,0.47,0.40,1.17,0.16,1.48,3.30,7.22,0.81,255.74,43.90,-28.38,1.59,227.16,0.65,13.27,64.5963,58.84,132.3611645,112.87
139,control,water,3,1,1,1,1,0,0,0,0,0,21,0.10,0.13,0.95,0.72,0.58,0.12,1.19,2.42,1.52,0.71,0.66,43.01,-27.87,1.14,3.48,0.66,4.32,86.4784,2.81,194.4735381,4.81
140,control,drought,4,1,1,1,1,0,0,0,0,0,28,0.17,0.17,0.59,0.55,1.67,0.13,2.05,3.44,9.66,0.85,0.00,40.69,-28.61,1.25,1.65,0.63,4.13,52.3781,1.09,146.297698,9.58
141,Labelled,drought,1,1,1,1,0,0,0,0,0,1,23,0.08,0.10,1.18,1.18,2.49,0.17,1.75,2.36,2.86,0.86,151.81,43.12,-26.78,1.47,97.26,0.62,10.18,85.6121,32.41,252.3921509,100.19
142,Labelled,drought,4,1,1,1,0,0,0,0,0,1,22,0.05,0.12,0.86,0.56,1.66,0.26,1.59,3.15,0.00,0.71,164.63,39.64,-27.27,1.59,167.09,0.68,9.77,99.5009,14.95,201.9486743,100.52
