POT_NUMBER,GLYCENE_LABELLED,WATER_TREATMENT,BLOCK,ONYCH,SCHEL,ISOT,MESA,PLATY,PSEU,HYPO,FOLS,PRED,PERCENT_RLC,CUT1_SHOOT_181201,CUT2_SHOOT_140202,CUT3_SHOOT_080402,ROOT,MBC,MBN,AMMONIA,NITRATE,PHOSPHATE,ROOT_PERCENT_TOTAL_N,ROOT_D15N,ROOT_PERCENT_TOTAL_C,ROOT_D13C,SHOOT_PERCENT_TOTAL_N,SHOOT_D15N,PERCENT_SOIL_TOTAL_N,SOIL_D15N,MGN_UNFUMIGATED_SAMPLE,D15N_UNFUMIGATED_SAMPLE,MGN_FUMIGATED_SAMPLE,D15N_FUMIGATED_SAMPLE
47,Labelled,water,1,0,0,0,1,0,0,0,0,0,38,0.16,0.30,0.57,0.45,1.60,0.18,1.51,1.72,3.85,0.77,320.59,40.42,-28.22,1.40,308,0.61,13.34,73.6295,29.7,238.7276171,55.35
48,Labelled,water,2,0,0,0,1,0,0,0,0,0,36,0.08,0.46,0.36,0.52,1.02,0.17,1.07,2.46,0.00,0.84,205.69,37.64,-28.44,1.91,261.71,0.61,11.05,66.2225,22.28,235.4173741,126.17
49,control,water,3,0,0,0,1,0,0,0,0,0,31,0.11,0.28,0.52,0.51,1.00,0.15,2.41,3.95,4.08,0.68,0.35,42.91,-29.39,1.11,-0.15,0.63,3.62,45.5358,1.01,154.7641891,3.45
50,control,drought,4,0,0,0,1,0,0,0,0,0,19,0.06,0.22,1.15,1.09,1.64,0.16,1.33,3.82,4.30,0.76,-0.41,41.17,-27.08,1.31,1.9,0.71,4.15,26.8565,3.25,212.2841283,3.67
51,Labelled,drought,2,0,0,0,0,1,0,0,0,0,10,0.09,0.19,0.54,0.58,0.94,0.15,1.73,2.98,3.60,0.65,282.65,44.95,-27.25,1.59,134.83,0.62,12.99,54.7259,35.98,147.1678549,163.8
52,Labelled,drought,1,0,0,0,0,1,0,0,0,0,22,0.08,0.24,0.59,0.74,1.10,0.18,1.33,2.95,0.00,0.74,128.15,42.76,-27.09,1.93,234.07,0.69,11.55,74.7353,17.31,92.07798976,213.89
53,Labelled,drought,1,0,0,0,0,1,0,0,0,0,29,0.06,0.21,0.97,0.89,0.73,0.11,0.78,1.70,4.65,0.84,160.02,40.00,-27.27,1.71,115.25,0.68,9.40,90.8059,34.91,230.9594098,128.33
54,Labelled,drought,2,0,0,0,0,1,0,0,0,0,30,0.18,0.21,0.49,0.79,0.90,0.17,1.88,2.20,0.00,0.81,164.66,38.33,-28.49,1.60,259.93,0.58,13.23,20.886,30.23,124.3876221,95.04
55,Labelled,water,3,0,0,0,0,1,0,0,0,0,18,0.10,0.25,0.22,1.27,1.70,0.13,2.08,3.56,3.96,0.75,309.77,43.23,-28.06,1.11,240.46,0.67,17.91,52.0496,77.91,77.91975408,99.73
56,Labelled,water,4,0,0,0,0,1,0,0,0,0,26,0.15,0.31,0.55,0.84,0.87,0.16,1.13,1.76,0.00,0.72,216.54,43.19,-28.72,1.51,166.34,0.67,10.97,83.3083,54.72,23.51258306,149.75
57,Labelled,water,1,0,0,0,0,1,0,0,0,0,28,0.12,0.31,0.45,0.52,0.93,0.20,1.96,3.10,5.75,0.83,233.88,37.10,-27.41,1.57,420.53,0.69,12.00,23.7238,87.16,190.2761599,85.98
58,Labelled,water,2,0,0,0,0,1,0,0,0,0,38,0.20,0.40,0.47,0.40,1.23,0.19,2.25,3.27,8.33,0.81,310.59,42.95,-27.94,1.33,180.93,0.69,14.69,51.3718,47.78,173.9203117,110.71
59,control,water,3,0,0,0,0,1,0,0,0,0,15,0.09,0.28,0.54,0.44,1.07,0.19,1.69,2.85,6.22,0.87,6.31,43.24,-29.04,1.26,12.15,0.67,3.00,57.0163,3.69,177.8590437,4.25
60,control,drought,4,0,0,0,0,0,1,0,0,0,17,0.06,0.16,1.11,0.74,1.61,0.19,1.20,3.59,4.43,0.80,8.98,43.31,-27.12,1.63,15.07,0.60,5.00,78.0511,4.15,235.6857836,5.36
61,Labelled,drought,4,0,0,0,0,0,1,0,0,0,16,0.15,0.19,0.73,0.73,0.96,0.28,2.29,3.52,4.57,0.65,237.82,42.99,-28.26,1.51,320.18,0.66,14.82,48.6388,40.25,169.8060127,120.46
62,Labelled,drought,2,0,0,0,0,0,1,0,0,0,22,0.08,0.21,0.96,0.96,1.09,0.20,0.96,2.05,3.37,0.77,225.41,42.60,-28.05,1.38,159.36,0.60,9.57,81.4123,38.71,196.9996797,116.87
63,Labelled,drought,1,0,0,0,0,0,1,0,0,0,20,0.13,0.25,0.45,0.48,2.15,0.19,3.25,8.50,2.97,0.86,155.27,34.17,-28.41,1.31,187.87,0.65,12.25,61.1838,36.28,146.861854,88.03
64,Labelled,drought,2,0,0,0,0,0,1,0,0,0,22,0.09,0.22,0.66,0.72,1.21,0.12,1.07,2.82,4.30,0.74,207.76,38.44,-27.84,1.61,183.14,0.65,16.07,85.1004,25.77,99.23806974,108.87
65,Labelled,water,3,0,0,0,0,0,1,0,0,0,16,0.07,0.16,1.16,0.94,1.67,0.11,0.85,1.95,0.00,0.65,188.87,42.27,-27.18,1.25,123.45,0.68,12.72,53.8212,43.75,73.62030088,144.49
66,Labelled,water,4,0,0,0,0,0,1,0,0,0,25,0.19,0.22,0.56,0.35,0.77,0.24,3.14,3.16,9.04,0.80,309.35,44.51,-28.44,1.29,308.62,0.63,11.68,55.1229,28.78,164.8938771,71.73
67,Labelled,water,1,0,0,0,0,0,1,0,0,0,19,0.17,0.39,0.48,0.53,0.79,0.20,1.94,2.52,0.00,0.80,228.19,41.96,-28.58,1.61,233.8,0.60,11.72,60.1599,32.47,213.8269657,100.19
68,Labelled,water,2,0,0,0,0,0,1,0,0,0,16,0.10,0.38,0.44,0.47,1.03,0.23,1.21,2.04,6.72,0.73,258.76,45.14,-27.23,1.35,325.85,0.56,14.23,60.9757,33.57,191.0878854,98.25
69,control,water,3,0,0,0,0,0,1,0,0,0,22,0.17,0.31,0.53,0.77,1.58,0.24,1.55,2.01,3.53,0.82,1.00,40.89,-29.17,1.38,0.1,0.66,4.18,61.1593,2.89,185.9837536,4.86
70,control,drought,4,0,0,0,0,0,1,0,0,0,19,0.16,0.25,0.57,0.46,1.06,0.17,1.09,2.13,0.67,0.76,3.60,43.72,-28.61,1.49,7.49,0.66,3.96,too small,,169.1743693,6.66
71,Labelled,drought,2,0,0,0,0,0,0,1,0,0,25,0.07,0.21,0.74,0.79,1.20,0.16,1.35,3.53,4.58,0.84,218.73,44.07,-26.38,1.47,118.83,0.59,13.20,74.5856,29.96,202.450465,111.65
72,Labelled,drought,3,0,0,0,0,0,0,1,0,0,14,0.09,0.19,0.64,0.60,2.31,0.20,2.23,7.25,10.80,0.75,262.07,45.63,-27.2,1.50,327.66,0.68,12.45,58.861,19.93,57.10927136,108.31
73,Labelled,drought,1,0,0,0,0,0,0,1,0,0,13,0.07,0.24,0.53,0.84,1.51,0.17,0.98,1.92,0.00,0.83,175.75,40.94,-27.13,1.46,156.6,0.61,9.65,too small,,199.7413894,165.39
74,Labelled,drought,2,0,0,0,0,0,0,1,0,0,33,0.15,0.31,0.54,0.62,1.59,0.21,2.64,3.77,3.90,0.93,178.51,37.97,-28.36,1.65,199.61,0.65,8.52,68.2965,47.69,178.5022027,138.27
75,Labelled,water,3,0,0,0,0,0,0,1,0,0,26,0.13,0.15,0.90,0.79,2.00,0.12,1.29,3.87,1.46,0.54,205.50,25.70,-27.19,0.98,240.25,0.71,9.20,68.8437,32.03,183.840205,159.9
76,Labelled,water,4,0,0,0,0,0,0,1,0,0,20,0.08,0.22,0.35,0.39,2.29,0.11,1.90,4.12,3.45,0.67,219.34,46.95,-26.18,1.28,85.08,0.63,11.41,61.5159,13.49,125.6310085,110.06
77,Labelled,water,1,0,0,0,0,0,0,1,0,0,18,0.09,0.34,0.60,0.70,1.18,0.18,1.94,2.64,0.00,0.84,109.93,36.36,-27.87,1.37,253.82,0.60,11.89,62.6063,35.6,181.6259016,105.72
78,Labelled,water,2,0,0,0,0,0,0,1,0,0,19,0.15,0.30,0.45,0.51,1.37,0.18,2.62,2.61,4.87,0.81,325.82,46.36,-28.19,1.39,270.44,0.67,10.04,80.4271,42.59,216.9333024,87.54
79,control,water,3,0,0,0,0,0,0,1,0,0,14,0.12,0.31,0.64,0.97,1.08,0.29,2.37,2.91,4.14,0.89,213.34,37.37,-28.35,1.31,387.16,0.55,9.67,60.5654,51.09,175.2736458,100.09
80,control,drought,4,0,0,0,0,0,0,1,0,0,31,0.15,0.31,0.49,0.64,1.05,0.22,1.18,2.26,0.00,0.87,1.49,31.70,-29.58,1.44,0.54,0.65,4.25,83.224,1.36,232.093765,4.01
81,Labelled,drought,3,0,0,0,0,0,0,0,1,0,22,0.13,0.13,0.84,0.90,0.16,0.17,1.46,3.62,1.59,0.84,189.60,38.36,-26.29,1.50,145.08,0.62,10.49,89.3401,28.99,155.9026823,130.96
82,Labelled,drought,4,0,0,0,0,0,0,0,1,0,26,0.11,0.11,0.62,0.64,0.08,0.32,1.42,3.57,5.14,0.81,216.73,43.06,-27.3,1.34,182.66,0.67,11.29,69.2809,36.46,108.6638859,111.68
83,Labelled,drought,1,0,0,0,0,0,0,0,1,0,22,0.07,0.07,1.19,0.83,1.04,0.31,2.41,2.59,0.74,0.97,229.38,44.51,-26.65,,,0.62,11.61,85.2971,48.21,201.3984449,125.48
84,Labelled,drought,2,0,0,0,0,0,0,0,1,0,17,0.11,0.23,0.53,0.63,0.45,0.19,1.87,3.40,0.03,0.96,239.00,40.87,-28.09,1.51,241,0.63,10.34,58.3821,32.91,206.5095712,120.51
85,Labelled,water,3,0,0,0,0,0,0,0,1,0,16,0.13,0.21,0.75,0.79,1.00,0.18,2.35,4.10,3.21,0.83,173.90,44.66,-27.45,1.36,85.81,0.62,13.45,43.0469,21.84,192.7557543,154.66
86,Labelled,water,4,0,0,0,0,0,0,0,1,0,15,0.13,0.15,0.97,0.56,2.09,0.17,1.86,2.68,10.71,0.99,208.04,46.11,-27.85,1.11,130.71,0.61,9.98,54.5939,24.13,165.9608211,138.95
87,Labelled,water,1,0,0,0,0,0,0,0,1,0,9,0.07,0.17,0.25,0.26,1.15,0.15,4.70,5.26,4.81,0.94,293.44,43.93,-25.24,1.66,152.43,0.60,11.27,194.2674,191.74,54.1383082,215.06
88,Labelled,water,2,0,0,0,0,0,0,0,1,0,8,0.03,0.15,1.03,0.70,0.52,0.13,1.96,2.23,4.66,0.86,219.99,47.19,-27.19,1.68,126.95,0.54,10.15,81.1468,75.27,174.5452829,117.95
89,control,water,3,0,0,0,0,0,0,0,1,0,10,0.10,0.20,0.54,0.53,0.95,0.19,1.30,2.39,0.00,0.67,0.52,44.84,-28.68,1.17,0.33,0.63,3.09,80.643,1.58,120.3486379,4.9
90,control,drought,4,0,0,0,0,0,0,0,1,0,15,0.12,0.19,0.98,0.74,1.04,0.23,1.03,2.42,0.00,0.83,1.40,41.99,-27.26,1.00,2.03,0.66,3.76,too small,,188.5077221,1.92
91,Labelled,drought,1,1,1,0,0,0,0,0,0,0,13,0.05,0.15,0.91,0.55,1.71,0.22,1.46,1.24,3.71,0.97,247.78,43.20,-25.93,1.70,124.55,0.55,10.28,89.9248,38.27,225.7246996,98.19
92,Labelled,drought,2,1,1,0,0,0,0,0,0,0,12,0.08,0.11,1.03,0.81,0.79,0.15,1.63,3.00,3.81,1.02,182.81,44.78,-26.49,2.23,126.93,0.64,10.13,84.4352,43.4,32.99363383,144.55
93,Labelled,drought,1,1,1,0,0,0,0,0,0,0,17,0.11,0.22,0.65,0.70,1.05,0.18,1.43,2.33,0.22,0.88,171.63,40.10,-28.32,1.78,218.62,0.56,11.64,83.7375,50.86,207.1314767,123.37
94,Labelled,drought,2,1,1,0,0,0,0,0,0,0,14,0.15,0.25,0.63,0.71,1.02,0.17,1.09,2.00,0.00,0.95,182.32,39.56,-28.21,1.23,170.66,0.51,11.92,82.4454,37.69,198.7233443,128.01
95,Labelled,water,3,1,1,0,0,0,0,0,0,0,24,0.08,0.19,0.86,0.90,1.23,0.17,1.86,3.71,7.66,0.73,207.88,34.65,-28.39,1.21,157.21,0.46,15.06,54.7617,24.43,180.6423522,141.19
96,Labelled,water,4,1,1,0,0,0,0,0,0,0,40,0.08,0.26,0.46,0.85,0.58,0.18,1.38,2.94,3.17,0.73,164.68,42.79,-27.3,1.37,174.1,0.49,11.68,77.9444,37.31,210.7624128,106.34
97,Labelled,water,1,1,1,0,0,0,0,0,0,0,22,0.03,0.22,0.49,0.58,0.85,0.14,2.99,4.04,4.02,0.85,323.24,46.41,-26.17,1.40,187.58,0.62,6.51,45.3155,46.25,118.1418261,80.79
98,Labelled,water,2,1,1,0,0,0,0,0,0,0,15,0.06,0.17,0.39,0.49,1.21,0.10,5.44,8.62,4.24,0.91,280.66,45.09,-26.54,1.72,191.1,0.54,9.46,48.022,18,151.6157931,74.52
99,control,water,3,1,1,0,0,0,0,0,0,0,10,0.08,0.27,0.67,0.78,0.91,0.13,1.69,2.29,0.00,0.79,1.11,42.76,-28.48,1.19,2.09,0.74,4.38,73.7746,1.45,195.819962,4.35
100,control,drought,4,1,1,0,0,0,0,0,0,0,24,0.14,0.24,0.39,0.34,1.30,0.20,1.51,2.00,6.79,0.71,-1.54,43.27,-29.83,1.29,0.03,0.76,3.10,68.8201,2.06,215.9185875,3.29
101,Labelled,drought,4,0,0,1,1,0,0,0,0,0,26,0.13,0.16,0.72,0.74,1.61,0.15,2.26,5.07,3.51,0.91,194.88,43.40,-27.18,1.47,115.17,0.51,10.66,54.8836,43.95,170.4204576,297.27
102,Labelled,drought,4,0,0,1,1,0,0,0,0,0,28,0.10,0.19,1.02,0.73,1.13,0.11,1.08,1.34,9.19,0.81,153.75,45.62,-26.09,1.50,103.65,0.51,10.93,85.94,36.36,65.31523748,40.83
153,Labelled,drought,1,0,0,0,0,1,1,1,1,0,20,0.05,0.12,0.83,0.69,2.12,0.26,1.81,3.74,4.93,0.76,147.22,39.32,-27.08,1.61,125.77,0.65,8.88,93.5024,23.6,210.4407773,113.46
154,Labelled,drought,2,0,0,0,0,1,1,1,1,0,19,0.06,0.16,0.89,0.81,0.87,0.14,6.77,2.63,0.00,0.83,187.40,40.86,-27.64,1.31,150.47,0.65,11.25,52.7022,15.78,179.008888,128.57
155,Labelled,water,3,0,0,0,0,1,1,1,1,0,18,0.06,0.07,0.50,0.55,0.86,0.19,5.08,4.86,3.34,1.06,157.13,45.17,-25.32,2.04,36.82,0.66,11.52,71.2647,53.1,190.7042519,133.83
156,Labelled,water,4,0,0,0,0,1,1,1,1,0,12,0.06,0.18,1.28,1.23,1.41,0.45,7.17,2.38,0.00,0.78,133.18,41.72,-27.57,0.97,94.88,0.70,9.35,79.1287,36.48,208.0486854,134.27
157,Labelled,water,1,0,0,0,0,1,1,1,1,0,17,0.12,0.18,0.63,0.67,2.36,0.16,1.58,2.69,4.54,0.77,276.40,41.62,-28.04,1.42,155.52,0.59,12.15,76.0458,39.71,220.9752211,137.39
158,Labelled,water,2,0,0,0,0,1,1,1,1,0,7,0.11,0.18,0.81,0.66,2.02,0.10,1.93,1.77,5.34,0.75,311.45,46.88,-28.02,1.39,136.03,0.69,9.60,78.9872,41.37,210.3680432,116.66
159,control,water,3,0,0,0,0,1,1,1,1,0,17,0.10,0.17,1.13,0.76,1.80,0.13,1.12,1.90,0.00,0.64,1.51,43.18,-27.97,0.96,4.36,0.64,4.32,too small,,182.253141,2.26
160,control,drought,4,0,0,0,0,1,1,1,1,0,22,0.11,0.23,0.64,0.66,1.78,0.11,2.29,3.56,10.37,1.00,0.29,41.89,-28.32,1.53,2.75,0.56,3.13,45.361,1.89,128.0547493,3.96
161,Labelled,drought,1,0,0,0,0,1,1,1,0,1,16,0.13,0.14,0.87,0.70,2.36,0.17,0.75,1.41,2.28,0.74,113.81,31.74,-26.88,1.60,149.06,0.63,11.21,83.3906,29.39,104.7841,116.11
162,Labelled,drought,3,0,0,0,0,1,1,1,0,1,20,0.06,0.17,0.80,0.87,2.85,0.15,2.05,3.25,8.25,0.81,155.87,43.34,-26.74,1.63,171.71,0.59,11.06,44.9921,24.01,130.8322251,109.7
163,Labelled,drought,1,0,0,0,0,1,1,1,0,1,8,0.11,0.19,0.45,0.52,1.06,0.11,2.68,4.70,3.57,0.75,190.93,41.34,-26.61,1.73,181.94,0.64,13.15,63.0131,35.42,128.2684446,130.69
164,Labelled,drought,2,0,0,0,0,1,1,1,0,1,15,0.04,0.18,0.71,0.73,2.31,0.12,1.58,3.83,0.00,0.76,129.84,40.28,-27.53,1.51,141.99,0.66,9.10,49.3149,30.09,219.5002238,80.6
165,Labelled,water,3,0,0,0,0,1,1,1,0,1,6,0.11,0.17,0.45,0.48,1.19,0.13,2.79,3.73,3.34,0.75,275.76,42.22,-28.1,1.39,209.55,0.68,8.79,46.0434,36.16,133.3576748,181.91
166,Labelled,water,4,0,0,0,0,1,1,1,0,1,17,0.09,0.19,0.71,0.67,2.18,0.18,1.17,2.63,0.00,0.71,204.78,46.37,-27.96,1.20,224.43,0.77,10.55,9.1579,34.07,208.4035844,164.28
167,Labelled,water,1,0,0,0,0,1,1,1,0,1,9,0.15,0.29,0.48,0.55,1.88,0.17,1.60,2.64,6.85,0.75,279.44,47.16,-28.68,1.28,282.01,0.69,12.01,35.0572,45.33,,too small
168,Labelled,water,2,0,0,0,0,1,1,1,0,1,18,0.13,0.17,0.86,0.83,2.03,0.12,1.28,2.42,0.00,0.74,238.15,45.64,-27.52,1.21,147.49,0.64,8.70,75.4078,35.03,172.8241533,125.78
169,control,water,3,0,0,0,0,1,1,1,0,1,12,0.08,0.16,1.00,0.83,2.16,0.12,1.65,3.83,3.45,0.74,3.77,45.21,-27.95,1.08,6.54,0.69,4.38,73.2771,1.44,169.404815,4.47
170,control,drought,4,0,0,0,0,1,1,1,0,1,20,0.10,0.15,0.68,0.74,2.76,0.21,1.59,3.42,3.57,0.76,4.35,42.62,-27.94,1.56,8.49,0.54,3.70,117.2661,3.24,225.2000865,4.8
171,Labelled,drought,2,1,1,1,1,1,1,1,1,0,22,0.20,0.20,0.44,0.52,1.21,0.11,2.73,4.80,2.38,0.85,258.61,42.36,-27.74,1.39,178.28,0.66,11.64,67.2253,21.42,178.4287879,128.78
172,Labelled,drought,3,1,1,1,1,1,1,1,1,0,24,0.10,0.27,0.44,0.58,2.04,0.17,1.19,1.76,0.00,0.85,215.86,43.33,-29.19,1.38,277.2,0.66,11.34,80.9273,37.47,141.0414937,119.34
173,Labelled,drought,1,1,1,1,1,1,1,1,1,0,17,0.04,0.24,0.72,0.53,2.10,0.12,1.77,2.32,3.09,0.66,288.50,49.49,-27.25,1.26,187.88,0.61,9.57,73.4884,46.36,181.288177,97
174,Labelled,drought,2,1,1,1,1,1,1,1,1,0,16,0.08,0.21,0.88,0.79,1.78,0.09,1.73,3.24,3.42,0.70,184.41,45.30,-27.64,1.67,193.73,0.61,10.23,93.7174,39.53,167.3386074,88.45
175,Labelled,water,3,1,1,1,1,1,1,1,1,0,22,0.08,0.23,0.80,0.85,2.20,0.14,1.05,2.04,0.00,0.93,168.88,40.00,-27.31,1.25,200.59,0.61,10.73,69.3097,32.36,193.0961335,129.9
176,Labelled,water,4,1,1,1,1,1,1,1,1,0,34,0.12,0.28,0.40,0.36,1.78,0.15,1.76,3.64,3.28,0.95,229.45,44.88,-28.58,1.61,268.6,0.67,12.98,68.804,53.8,226.0496806,130.43
177,Labelled,water,1,1,1,1,1,1,1,1,1,0,8,0.06,0.30,0.77,0.82,0.97,0.18,12.59,8.12,2.19,0.56,140.18,25.62,-28.46,1.23,74.93,0.63,12.39,79.4551,437.95,122.3052644,288.88
178,Labelled,water,2,1,1,1,1,1,1,1,1,0,26,0.11,0.29,0.54,0.65,1.15,0.14,2.22,3.21,0.00,0.87,225.15,41.53,-28.8,1.42,253.35,0.70,10.62,39.0112,34.03,174.1654016,107.75
179,control,water,3,1,1,1,1,1,1,1,1,0,17,0.06,0.37,0.65,0.69,1.68,0.14,1.20,2.00,0.00,0.69,0.29,42.87,-28.94,1.19,1.49,0.60,3.34,77.3092,2.04,151.253809,1.78
180,control,drought,4,1,1,1,1,1,1,1,1,0,22,0.06,0.20,0.67,0.61,0.04,0.17,2.07,3.46,11.15,0.69,1.82,39.05,-28.17,1.51,3.47,0.65,4.38,68.7961,-1.84,201.1859842,3.45
181,Labelled,drought,3,1,1,1,1,1,1,1,0,1,8,0.07,0.23,0.62,0.50,1.58,0.14,5.46,4.08,8.33,0.67,208.67,42.01,-27.38,1.36,254.14,0.66,11.83,52.1477,35.61,167.2419104,74.07
182,Labelled,drought,2,1,1,1,1,1,1,1,0,1,18,0.05,0.26,0.47,0.48,2.54,0.15,1.49,1.62,8.95,0.68,389.48,47.87,-27.3,1.36,211.62,0.67,10.46,64.7035,30.39,128.6652733,101.78
